Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
586.61	0.10132	0.39692	2.5194	658.85	914.13	7.9671	0.83957	1.1365	587.95	-0.46569	37.682	0.058482	vapor
589.45	0.10132	0.39561	2.5277	661.24	917.36	7.9708	0.84023	1.1371	588.86	-0.46887	37.764	0.058637	vapor
592.28	0.10132	0.39432	2.5360	663.62	920.58	7.9745	0.84089	1.1378	589.77	-0.47203	37.846	0.058791	vapor
595.12	0.10132	0.39303	2.5443	666.01	923.81	7.9783	0.84155	1.1385	590.67	-0.47516	37.927	0.058946	vapor
597.96	0.10132	0.39175	2.5526	668.39	927.04	7.9820	0.84221	1.1391	591.57	-0.47826	38.009	0.059100	vapor
600.79	0.10132	0.39048	2.5610	670.78	930.27	7.9857	0.84287	1.1398	592.48	-0.48133	38.090	0.059255	vapor
603.63	0.10132	0.38922	2.5693	673.18	933.51	7.9894	0.84352	1.1404	593.38	-0.48437	38.171	0.059409	vapor
606.47	0.10132	0.38796	2.5776	675.57	936.74	7.9931	0.84418	1.1411	594.27	-0.48738	38.252	0.059563	vapor
609.30	0.10132	0.38672	2.5859	677.97	939.98	7.9967	0.84483	1.1417	595.17	-0.49036	38.333	0.059717	vapor
612.14	0.10132	0.38548	2.5942	680.36	943.22	8.0004	0.84548	1.1424	596.07	-0.49332	38.414	0.059871	vapor
614.97	0.10132	0.38425	2.6025	682.76	946.46	8.0041	0.84613	1.1430	596.96	-0.49625	38.495	0.060024	vapor
617.81	0.10132	0.38302	2.6108	685.16	949.70	8.0077	0.84678	1.1437	597.85	-0.49916	38.575	0.060178	vapor
620.65	0.10132	0.38181	2.6191	687.57	952.95	8.0113	0.84743	1.1443	598.74	-0.50203	38.656	0.060331	vapor
623.48	0.10132	0.38060	2.6274	689.97	956.20	8.0150	0.84808	1.1450	599.63	-0.50488	38.736	0.060485	vapor
626.32	0.10132	0.37940	2.6357	692.38	959.44	8.0186	0.84872	1.1456	600.52	-0.50771	38.817	0.060638	vapor
629.16	0.10132	0.37821	2.6440	694.79	962.69	8.0222	0.84936	1.1463	601.41	-0.51051	38.897	0.060791	vapor
631.99	0.10132	0.37702	2.6524	697.20	965.95	8.0258	0.85001	1.1469	602.29	-0.51328	38.977	0.060944	vapor
634.83	0.10132	0.37585	2.6607	699.61	969.20	8.0294	0.85065	1.1475	603.18	-0.51603	39.057	0.061097	vapor
637.67	0.10132	0.37468	2.6690	702.02	972.46	8.0330	0.85128	1.1482	604.06	-0.51875	39.137	0.061250	vapor
