Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
178.04	250.00	904.08	0.0011061	739.66	767.32	2.0894	3.3856	4.3041	1469.0	-0.013000	157.71	0.69233	liquid
179.67	250.00	902.46	0.0011081	746.63	774.33	2.1049	3.3793	4.3090	1465.1	-0.012856	156.23	0.69178	liquid
181.30	250.00	900.83	0.0011101	753.60	781.35	2.1204	3.3730	4.3139	1461.1	-0.012709	154.79	0.69122	liquid
182.92	250.00	899.19	0.0011121	760.57	788.38	2.1358	3.3668	4.3189	1457.0	-0.012560	153.37	0.69063	liquid
184.55	250.00	897.54	0.0011142	767.56	795.41	2.1512	3.3606	4.3240	1452.9	-0.012408	151.97	0.69002	liquid
186.18	250.00	895.88	0.0011162	774.55	802.46	2.1666	3.3544	4.3292	1448.8	-0.012255	150.61	0.68939	liquid
187.81	250.00	894.21	0.0011183	781.55	809.51	2.1819	3.3483	4.3345	1444.6	-0.012099	149.27	0.68874	liquid
189.44	250.00	892.53	0.0011204	788.56	816.57	2.1972	3.3422	4.3399	1440.3	-0.011940	147.95	0.68806	liquid
191.06	250.00	890.84	0.0011225	795.58	823.64	2.2125	3.3361	4.3455	1436.1	-0.011779	146.66	0.68737	liquid
192.69	250.00	889.13	0.0011247	802.60	830.72	2.2277	3.3301	4.3511	1431.7	-0.011616	145.40	0.68665	liquid
194.32	250.00	887.41	0.0011269	809.64	837.81	2.2429	3.3241	4.3569	1427.3	-0.011450	144.15	0.68591	liquid
195.95	250.00	885.69	0.0011291	816.68	844.91	2.2581	3.3182	4.3627	1422.9	-0.011282	142.93	0.68515	liquid
197.58	250.00	883.95	0.0011313	823.73	852.01	2.2732	3.3123	4.3687	1418.4	-0.011111	141.73	0.68437	liquid
199.20	250.00	882.19	0.0011335	830.79	859.13	2.2883	3.3065	4.3748	1413.9	-0.010937	140.55	0.68356	liquid
200.83	250.00	880.43	0.0011358	837.86	866.26	2.3033	3.3006	4.3810	1409.4	-0.010760	139.39	0.68273	liquid
202.46	250.00	878.66	0.0011381	844.94	873.40	2.3184	3.2949	4.3874	1404.7	-0.010580	138.25	0.68188	liquid
204.09	250.00	876.87	0.0011404	852.03	880.54	2.3334	3.2891	4.3938	1400.1	-0.010398	137.12	0.68100	liquid
205.72	250.00	875.07	0.0011428	859.13	887.70	2.3484	3.2834	4.4004	1395.4	-0.010212	136.02	0.68011	liquid
207.35	250.00	873.26	0.0011451	866.24	894.87	2.3633	3.2778	4.4072	1390.6	-0.010023	134.94	0.67919	liquid
208.97	250.00	871.44	0.0011475	873.37	902.05	2.3782	3.2721	4.4140	1385.8	-0.0098311	133.87	0.67824	liquid
210.60	250.00	869.60	0.0011500	880.50	909.25	2.3931	3.2666	4.4210	1381.0	-0.0096359	132.82	0.67728	liquid
212.23	250.00	867.75	0.0011524	887.64	916.45	2.4080	3.2610	4.4282	1376.1	-0.0094373	131.79	0.67629	liquid
213.86	250.00	865.89	0.0011549	894.79	923.66	2.4228	3.2555	4.4355	1371.2	-0.0092353	130.78	0.67527	liquid
215.49	250.00	864.01	0.0011574	901.96	930.89	2.4376	3.2500	4.4429	1366.2	-0.0090297	129.78	0.67423	liquid
217.11	250.00	862.13	0.0011599	909.13	938.13	2.4524	3.2446	4.4505	1361.2	-0.0088205	128.79	0.67317	liquid
218.74	250.00	860.23	0.0011625	916.32	945.38	2.4672	3.2392	4.4582	1356.1	-0.0086076	127.82	0.67208	liquid
220.37	250.00	858.31	0.0011651	923.52	952.65	2.4819	3.2339	4.4661	1351.0	-0.0083909	126.87	0.67097	liquid
222.00	250.00	856.38	0.0011677	930.73	959.93	2.4967	3.2286	4.4741	1345.8	-0.0081703	125.93	0.66983	liquid
223.63	250.00	854.44	0.0011704	937.96	967.22	2.5114	3.2233	4.4823	1340.6	-0.0079456	125.00	0.66867	liquid
225.25	250.00	852.49	0.0011730	945.20	974.52	2.5260	3.2181	4.4907	1335.3	-0.0077168	124.09	0.66749	liquid
226.88	250.00	850.52	0.0011758	952.45	981.84	2.5407	3.2129	4.4993	1330.0	-0.0074838	123.19	0.66627	liquid
228.51	250.00	848.54	0.0011785	959.71	989.17	2.5553	3.2077	4.5080	1324.6	-0.0072464	122.30	0.66504	liquid
230.14	250.00	846.54	0.0011813	966.99	996.52	2.5700	3.2026	4.5169	1319.2	-0.0070045	121.43	0.66377	liquid
231.77	250.00	844.53	0.0011841	974.28	1003.9	2.5846	3.1975	4.5260	1313.8	-0.0067581	120.56	0.66248	liquid
233.39	250.00	842.50	0.0011869	981.58	1011.3	2.5991	3.1925	4.5353	1308.3	-0.0065069	119.71	0.66116	liquid
235.02	250.00	840.46	0.0011898	988.90	1018.6	2.6137	3.1875	4.5448	1302.8	-0.0062508	118.87	0.65982	liquid
236.65	250.00	838.40	0.0011927	996.24	1026.1	2.6283	3.1825	4.5545	1297.2	-0.0059897	118.05	0.65845	liquid
238.28	250.00	836.33	0.0011957	1003.6	1033.5	2.6428	3.1776	4.5644	1291.5	-0.0057235	117.23	0.65705	liquid
239.91	250.00	834.24	0.0011987	1011.0	1040.9	2.6573	3.1727	4.5745	1285.8	-0.0054519	116.42	0.65562	liquid
241.54	250.00	832.13	0.0012017	1018.3	1048.4	2.6718	3.1679	4.5848	1280.1	-0.0051749	115.63	0.65417	liquid
243.16	250.00	830.01	0.0012048	1025.7	1055.8	2.6863	3.1630	4.5954	1274.3	-0.0048923	114.84	0.65269	liquid
244.79	250.00	827.88	0.0012079	1033.1	1063.3	2.7008	3.1583	4.6062	1268.5	-0.0046039	114.06	0.65118	liquid
246.42	250.00	825.72	0.0012111	1040.6	1070.8	2.7153	3.1536	4.6172	1262.6	-0.0043095	113.29	0.64964	liquid
248.05	250.00	823.55	0.0012143	1048.0	1078.4	2.7298	3.1489	4.6285	1256.7	-0.0040090	112.54	0.64807	liquid
249.68	250.00	821.36	0.0012175	1055.5	1085.9	2.7442	3.1442	4.6400	1250.7	-0.0037022	111.79	0.64647	liquid
251.30	250.00	819.16	0.0012208	1063.0	1093.5	2.7587	3.1396	4.6518	1244.7	-0.0033888	111.04	0.64484	liquid
252.93	250.00	816.93	0.0012241	1070.5	1101.1	2.7731	3.1351	4.6638	1238.6	-0.0030686	110.31	0.64318	liquid
254.56	250.00	814.69	0.0012275	1078.0	1108.7	2.7875	3.1306	4.6762	1232.5	-0.0027415	109.59	0.64148	liquid
256.19	250.00	812.43	0.0012309	1085.5	1116.3	2.8019	3.1261	4.6888	1226.3	-0.0024072	108.87	0.63976	liquid
257.82	250.00	810.15	0.0012343	1093.1	1123.9	2.8164	3.1217	4.7017	1220.1	-0.0020655	108.16	0.63801	liquid
259.44	250.00	807.85	0.0012378	1100.7	1131.6	2.8308	3.1173	4.7149	1213.8	-0.0017161	107.46	0.63622	liquid
261.07	250.00	805.54	0.0012414	1108.3	1139.3	2.8452	3.1129	4.7285	1207.5	-0.0013588	106.76	0.63440	liquid
262.70	250.00	803.20	0.0012450	1115.9	1147.0	2.8596	3.1086	4.7424	1201.1	-0.00099333	106.07	0.63255	liquid
264.33	250.00	800.84	0.0012487	1123.5	1154.7	2.8740	3.1044	4.7566	1194.7	-0.00061937	105.39	0.63067	liquid
265.96	250.00	798.46	0.0012524	1131.2	1162.5	2.8884	3.1002	4.7711	1188.2	-0.00023664	104.71	0.62875	liquid
267.58	250.00	796.06	0.0012562	1138.9	1170.3	2.9028	3.0960	4.7861	1181.6	0.00015517	104.04	0.62680	liquid
269.21	250.00	793.64	0.0012600	1146.6	1178.1	2.9172	3.0919	4.8014	1175.0	0.00055637	103.38	0.62481	liquid
270.84	250.00	791.19	0.0012639	1154.3	1185.9	2.9317	3.0878	4.8171	1168.4	0.00096730	102.72	0.62279	liquid
272.47	250.00	788.73	0.0012679	1162.1	1193.8	2.9461	3.0838	4.8332	1161.6	0.0013883	102.07	0.62073	liquid
274.10	250.00	786.24	0.0012719	1169.8	1201.6	2.9605	3.0798	4.8498	1154.9	0.0018198	101.42	0.61864	liquid
275.72	250.00	783.72	0.0012760	1177.6	1209.5	2.9749	3.0759	4.8668	1148.0	0.0022622	100.78	0.61651	liquid
277.35	250.00	781.19	0.0012801	1185.5	1217.5	2.9894	3.0720	4.8842	1141.2	0.0027158	100.14	0.61435	liquid
278.98	250.00	778.62	0.0012843	1193.3	1225.5	3.0038	3.0682	4.9021	1134.2	0.0031811	99.508	0.61215	liquid
280.61	250.00	776.04	0.0012886	1201.2	1233.4	3.0183	3.0644	4.9206	1127.2	0.0036586	98.879	0.60991	liquid
282.24	250.00	773.42	0.0012930	1209.1	1241.5	3.0328	3.0607	4.9395	1120.1	0.0041487	98.254	0.60764	liquid
283.87	250.00	770.78	0.0012974	1217.1	1249.5	3.0472	3.0571	4.9590	1113.0	0.0046520	97.634	0.60532	liquid
285.49	250.00	768.12	0.0013019	1225.1	1257.6	3.0617	3.0535	4.9790	1105.8	0.0051690	97.017	0.60297	liquid
287.12	250.00	765.42	0.0013065	1233.1	1265.7	3.0763	3.0499	4.9997	1098.6	0.0057003	96.403	0.60059	liquid
288.75	250.00	762.70	0.0013111	1241.1	1273.9	3.0908	3.0464	5.0209	1091.2	0.0062464	95.793	0.59816	liquid
290.38	250.00	759.94	0.0013159	1249.2	1282.1	3.1054	3.0430	5.0429	1083.8	0.0068080	95.186	0.59570	liquid
292.01	250.00	757.16	0.0013207	1257.3	1290.3	3.1199	3.0396	5.0655	1076.4	0.0073857	94.582	0.59319	liquid
293.63	250.00	754.35	0.0013257	1265.4	1298.6	3.1345	3.0363	5.0888	1068.8	0.0079804	93.980	0.59065	liquid
295.26	250.00	751.50	0.0013307	1273.6	1306.9	3.1492	3.0331	5.1128	1061.2	0.0085927	93.381	0.58808	liquid
296.89	250.00	748.62	0.0013358	1281.8	1315.2	3.1638	3.0299	5.1377	1053.6	0.0092234	92.784	0.58546	liquid
298.52	250.00	745.71	0.0013410	1290.1	1323.6	3.1785	3.0268	5.1633	1045.8	0.0098735	92.189	0.58280	liquid
300.15	250.00	742.76	0.0013463	1298.4	1332.0	3.1932	3.0238	5.1898	1038.0	0.010544	91.596	0.58011	liquid
301.77	250.00	739.77	0.0013518	1306.7	1340.5	3.2080	3.0209	5.2173	1030.1	0.011235	91.005	0.57738	liquid
303.40	250.00	736.75	0.0013573	1315.1	1349.0	3.2228	3.0180	5.2457	1022.1	0.011949	90.415	0.57461	liquid
305.03	250.00	733.69	0.0013630	1323.5	1357.6	3.2376	3.0152	5.2751	1014.1	0.012686	89.825	0.57180	liquid
306.66	250.00	730.59	0.0013688	1332.0	1366.2	3.2525	3.0125	5.3057	1005.9	0.013447	89.237	0.56895	liquid
308.29	250.00	727.45	0.0013747	1340.5	1374.9	3.2674	3.0099	5.3373	997.69	0.014235	88.650	0.56607	liquid
309.91	250.00	724.26	0.0013807	1349.1	1383.6	3.2824	3.0074	5.3702	989.37	0.015049	88.062	0.56315	liquid
311.54	250.00	721.03	0.0013869	1357.7	1392.4	3.2974	3.0049	5.4043	980.96	0.015892	87.475	0.56020	liquid
313.17	250.00	717.76	0.0013932	1366.4	1401.2	3.3125	3.0026	5.4398	972.46	0.016765	86.888	0.55721	liquid
314.80	250.00	714.44	0.0013997	1375.1	1410.1	3.3276	3.0004	5.4768	963.86	0.017670	86.300	0.55418	liquid
316.43	250.00	711.07	0.0014063	1383.9	1419.0	3.3428	2.9983	5.5153	955.16	0.018608	85.711	0.55112	liquid
318.05	250.00	707.64	0.0014131	1392.7	1428.0	3.3581	2.9963	5.5555	946.37	0.019582	85.122	0.54803	liquid
319.68	250.00	704.17	0.0014201	1401.6	1437.1	3.3734	2.9944	5.5974	937.46	0.020594	84.531	0.54490	liquid
321.31	250.00	700.64	0.0014273	1410.6	1446.3	3.3888	2.9926	5.6412	928.46	0.021646	83.939	0.54175	liquid
322.94	250.00	697.05	0.0014346	1419.6	1455.5	3.4043	2.9910	5.6870	919.33	0.022740	83.344	0.53856	liquid
324.57	250.00	693.40	0.0014422	1428.7	1464.8	3.4199	2.9895	5.7351	910.10	0.023880	82.747	0.53533	liquid
326.20	250.00	689.68	0.0014499	1437.9	1474.2	3.4356	2.9881	5.7854	900.74	0.025067	82.148	0.53208	liquid
327.82	250.00	685.90	0.0014579	1447.2	1483.6	3.4513	2.9869	5.8383	891.26	0.026306	81.545	0.52880	liquid
329.45	250.00	682.05	0.0014662	1456.5	1493.2	3.4672	2.9859	5.8939	881.66	0.027600	80.939	0.52549	liquid
331.08	250.00	678.12	0.0014747	1466.0	1502.8	3.4832	2.9851	5.9525	871.91	0.028952	80.329	0.52215	liquid
332.71	250.00	674.12	0.0014834	1475.5	1512.6	3.4993	2.9844	6.0143	862.04	0.030367	79.715	0.51878	liquid
334.34	250.00	670.04	0.0014925	1485.1	1522.4	3.5155	2.9839	6.0796	852.01	0.031850	79.096	0.51538	liquid
335.96	250.00	665.87	0.0015018	1494.8	1532.4	3.5319	2.9837	6.1487	841.84	0.033405	78.471	0.51196	liquid
337.59	250.00	661.61	0.0015115	1504.6	1542.4	3.5484	2.9837	6.2221	831.50	0.035039	77.841	0.50851	liquid
339.22	250.00	657.25	0.0015215	1514.6	1552.6	3.5651	2.9839	6.3001	821.00	0.036758	77.204	0.50502	liquid
340.85	250.00	652.79	0.0015319	1524.6	1562.9	3.5819	2.9845	6.3832	810.33	0.038570	76.559	0.50151	liquid
342.48	250.00	648.22	0.0015427	1534.8	1573.4	3.5989	2.9853	6.4720	799.47	0.040482	75.907	0.49796	liquid
344.10	250.00	643.54	0.0015539	1545.2	1584.0	3.6161	2.9864	6.5671	788.41	0.042503	75.245	0.49438	liquid
345.73	250.00	638.73	0.0015656	1555.7	1594.8	3.6336	2.9879	6.6693	777.15	0.044644	74.575	0.49077	liquid
347.36	250.00	633.78	0.0015778	1566.3	1605.7	3.6512	2.9897	6.7795	765.66	0.046918	73.893	0.48712	liquid
348.99	250.00	628.69	0.0015906	1577.1	1616.9	3.6691	2.9920	6.8987	753.94	0.049338	73.199	0.48342	liquid
350.62	250.00	623.45	0.0016040	1588.1	1628.2	3.6873	2.9948	7.0283	741.96	0.051920	72.493	0.47968	liquid
352.24	250.00	618.03	0.0016180	1599.3	1639.8	3.7058	2.9981	7.1697	729.70	0.054683	71.772	0.47589	liquid
353.87	250.00	612.43	0.0016328	1610.7	1651.6	3.7247	3.0020	7.3249	717.13	0.057649	71.035	0.47204	liquid
