Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	155.00	1003.9	0.00099613	103.65	119.09	0.36311	4.0878	4.1391	1522.5	-0.022100	887.07	0.61420	liquid
25.000	156.00	1003.9	0.00099609	103.64	119.18	0.36308	4.0875	4.1389	1522.6	-0.022099	887.05	0.61424	liquid
25.000	157.00	1004.0	0.00099605	103.64	119.27	0.36306	4.0872	4.1386	1522.8	-0.022099	887.03	0.61429	liquid
25.000	158.00	1004.0	0.00099600	103.63	119.37	0.36303	4.0869	4.1383	1523.0	-0.022099	887.02	0.61433	liquid
25.000	159.00	1004.1	0.00099596	103.62	119.46	0.36300	4.0866	4.1381	1523.1	-0.022098	887.00	0.61438	liquid
25.000	160.00	1004.1	0.00099592	103.61	119.55	0.36297	4.0863	4.1378	1523.3	-0.022098	886.99	0.61442	liquid
25.000	161.00	1004.1	0.00099587	103.61	119.64	0.36295	4.0860	4.1376	1523.5	-0.022098	886.97	0.61447	liquid
25.000	162.00	1004.2	0.00099583	103.60	119.73	0.36292	4.0857	4.1373	1523.6	-0.022097	886.96	0.61452	liquid
25.000	163.00	1004.2	0.00099579	103.59	119.82	0.36289	4.0854	4.1370	1523.8	-0.022097	886.94	0.61456	liquid
25.000	164.00	1004.3	0.00099574	103.58	119.91	0.36286	4.0851	4.1368	1524.0	-0.022097	886.93	0.61461	liquid
25.000	165.00	1004.3	0.00099570	103.58	120.01	0.36284	4.0848	4.1365	1524.1	-0.022096	886.91	0.61465	liquid
25.000	166.00	1004.4	0.00099566	103.57	120.10	0.36281	4.0845	4.1363	1524.3	-0.022096	886.90	0.61470	liquid
25.000	167.00	1004.4	0.00099561	103.56	120.19	0.36278	4.0841	4.1360	1524.5	-0.022096	886.88	0.61474	liquid
25.000	168.00	1004.5	0.00099557	103.55	120.28	0.36275	4.0838	4.1358	1524.6	-0.022095	886.87	0.61479	liquid
25.000	169.00	1004.5	0.00099553	103.55	120.37	0.36273	4.0835	4.1355	1524.8	-0.022095	886.85	0.61483	liquid
25.000	170.00	1004.5	0.00099548	103.54	120.46	0.36270	4.0832	4.1353	1525.0	-0.022095	886.84	0.61488	liquid
25.000	171.00	1004.6	0.00099544	103.53	120.55	0.36267	4.0829	4.1350	1525.1	-0.022094	886.82	0.61493	liquid
25.000	172.00	1004.6	0.00099540	103.53	120.65	0.36264	4.0826	4.1347	1525.3	-0.022094	886.81	0.61497	liquid
25.000	173.00	1004.7	0.00099535	103.52	120.74	0.36262	4.0823	4.1345	1525.5	-0.022094	886.79	0.61502	liquid
25.000	174.00	1004.7	0.00099531	103.51	120.83	0.36259	4.0820	4.1342	1525.6	-0.022093	886.78	0.61506	liquid
25.000	175.00	1004.8	0.00099527	103.50	120.92	0.36256	4.0817	4.1340	1525.8	-0.022093	886.76	0.61511	liquid
25.000	176.00	1004.8	0.00099522	103.50	121.01	0.36253	4.0814	4.1337	1526.0	-0.022092	886.75	0.61515	liquid
25.000	177.00	1004.8	0.00099518	103.49	121.10	0.36251	4.0811	4.1335	1526.1	-0.022092	886.73	0.61520	liquid
25.000	178.00	1004.9	0.00099514	103.48	121.19	0.36248	4.0808	4.1332	1526.3	-0.022092	886.72	0.61525	liquid
25.000	179.00	1004.9	0.00099510	103.47	121.29	0.36245	4.0805	4.1330	1526.5	-0.022091	886.70	0.61529	liquid
25.000	180.00	1005.0	0.00099505	103.47	121.38	0.36242	4.0802	4.1327	1526.6	-0.022091	886.69	0.61534	liquid
25.000	181.00	1005.0	0.00099501	103.46	121.47	0.36240	4.0799	4.1324	1526.8	-0.022091	886.67	0.61538	liquid
25.000	182.00	1005.1	0.00099497	103.45	121.56	0.36237	4.0796	4.1322	1527.0	-0.022090	886.66	0.61543	liquid
25.000	183.00	1005.1	0.00099492	103.44	121.65	0.36234	4.0793	4.1319	1527.1	-0.022090	886.65	0.61547	liquid
25.000	184.00	1005.1	0.00099488	103.44	121.74	0.36231	4.0789	4.1317	1527.3	-0.022090	886.63	0.61552	liquid
