Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
908.06	1.0000	0.23871	4.1892	60.603	68.150	165.50	31.790	40.125	727.02	0.31470	34.004	0.084545	vapor
909.72	1.0000	0.23827	4.1969	60.656	68.217	165.57	31.811	40.146	727.64	0.31306	34.070	0.084768	vapor
911.39	1.0000	0.23783	4.2046	60.709	68.284	165.65	31.832	40.167	728.26	0.31144	34.136	0.084992	vapor
913.06	1.0000	0.23740	4.2123	60.762	68.351	165.72	31.853	40.189	728.87	0.30982	34.202	0.085216	vapor
914.72	1.0000	0.23697	4.2200	60.815	68.418	165.79	31.874	40.210	729.49	0.30821	34.268	0.085440	vapor
916.39	1.0000	0.23653	4.2277	60.868	68.485	165.87	31.896	40.231	730.10	0.30662	34.333	0.085664	vapor
918.06	1.0000	0.23610	4.2354	60.922	68.552	165.94	31.917	40.252	730.72	0.30503	34.399	0.085888	vapor
919.72	1.0000	0.23568	4.2431	60.975	68.619	166.01	31.938	40.273	731.33	0.30346	34.465	0.086113	vapor
921.39	1.0000	0.23525	4.2508	61.028	68.686	166.09	31.959	40.294	731.94	0.30190	34.530	0.086337	vapor
923.06	1.0000	0.23482	4.2585	61.081	68.753	166.16	31.981	40.315	732.56	0.30034	34.596	0.086562	vapor
924.72	1.0000	0.23440	4.2662	61.135	68.820	166.23	32.002	40.336	733.17	0.29880	34.662	0.086787	vapor
926.39	1.0000	0.23398	4.2739	61.188	68.888	166.30	32.023	40.357	733.78	0.29727	34.727	0.087012	vapor
928.06	1.0000	0.23356	4.2816	61.241	68.955	166.38	32.044	40.379	734.39	0.29575	34.793	0.087237	vapor
929.72	1.0000	0.23314	4.2893	61.295	69.022	166.45	32.066	40.400	735.00	0.29424	34.858	0.087462	vapor
931.39	1.0000	0.23272	4.2970	61.348	69.090	166.52	32.087	40.421	735.61	0.29274	34.924	0.087688	vapor
933.05	1.0000	0.23230	4.3047	61.402	69.157	166.59	32.108	40.442	736.22	0.29125	34.989	0.087913	vapor
934.72	1.0000	0.23189	4.3124	61.455	69.224	166.67	32.129	40.463	736.82	0.28977	35.055	0.088139	vapor
936.39	1.0000	0.23148	4.3201	61.509	69.292	166.74	32.151	40.484	737.43	0.28830	35.120	0.088365	vapor
938.05	1.0000	0.23106	4.3278	61.563	69.359	166.81	32.172	40.505	738.04	0.28684	35.185	0.088591	vapor
939.72	1.0000	0.23065	4.3355	61.616	69.427	166.88	32.193	40.527	738.64	0.28539	35.251	0.088817	vapor
941.39	1.0000	0.23024	4.3432	61.670	69.494	166.95	32.214	40.548	739.25	0.28395	35.316	0.089043	vapor
943.05	1.0000	0.22984	4.3509	61.724	69.562	167.03	32.236	40.569	739.85	0.28252	35.381	0.089269	vapor
944.72	1.0000	0.22943	4.3586	61.777	69.630	167.10	32.257	40.590	740.46	0.28110	35.446	0.089496	vapor
946.39	1.0000	0.22903	4.3663	61.831	69.697	167.17	32.278	40.611	741.06	0.27969	35.512	0.089723	vapor
948.05	1.0000	0.22862	4.3740	61.885	69.765	167.24	32.300	40.632	741.66	0.27829	35.577	0.089949	vapor
949.72	1.0000	0.22822	4.3817	61.939	69.833	167.31	32.321	40.654	742.27	0.27689	35.642	0.090176	vapor
951.38	1.0000	0.22782	4.3894	61.993	69.900	167.38	32.342	40.675	742.87	0.27551	35.707	0.090403	vapor
