Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
171.88	17.500	896.11	0.0011159	725.84	727.80	2.0589	3.4274	4.3707	1416.5	-0.012345	157.93	0.67711	liquid
172.92	17.500	895.03	0.0011173	730.39	732.35	2.0691	3.4231	4.3744	1413.7	-0.012237	156.91	0.67673	liquid
173.96	17.500	893.94	0.0011186	734.95	736.91	2.0793	3.4189	4.3783	1410.9	-0.012128	155.90	0.67634	liquid
175.00	17.500	892.84	0.0011200	739.51	741.47	2.0895	3.4146	4.3821	1408.0	-0.012018	154.91	0.67594	liquid
176.04	17.500	891.74	0.0011214	744.08	746.04	2.0997	3.4103	4.3861	1405.2	-0.011907	153.93	0.67554	liquid
177.08	17.500	890.63	0.0011228	748.64	750.61	2.1098	3.4061	4.3901	1402.3	-0.011794	152.97	0.67512	liquid
178.13	17.500	889.52	0.0011242	753.22	755.18	2.1200	3.4019	4.3942	1399.4	-0.011680	152.01	0.67470	liquid
179.17	17.500	888.40	0.0011256	757.79	759.76	2.1301	3.3977	4.3983	1396.5	-0.011565	151.07	0.67426	liquid
180.21	17.500	887.27	0.0011270	762.38	764.35	2.1402	3.3935	4.4025	1393.5	-0.011449	150.14	0.67382	liquid
181.25	17.500	886.14	0.0011285	766.96	768.94	2.1504	3.3894	4.4067	1390.5	-0.011331	149.22	0.67336	liquid
182.29	17.500	885.01	0.0011299	771.55	773.53	2.1604	3.3853	4.4110	1387.5	-0.011212	148.31	0.67290	liquid
183.33	17.500	883.87	0.0011314	776.15	778.13	2.1705	3.3811	4.4154	1384.5	-0.011092	147.41	0.67243	liquid
184.38	17.500	882.72	0.0011329	780.74	782.73	2.1806	3.3770	4.4198	1381.5	-0.010970	146.52	0.67194	liquid
